Clock(s)	TappedContent	OrderOfKeyTapped
405.331	b	8
405.845	a	9
406.289	r	10
406.82	o	11
407.409	q	12
407.963	u	13
408.466	e	14
408.923	space	15
409.427	a	16
409.967	n	17
410.449	d	18
410.857	space	19
411.253	c	20
411.798	l	21
412.387	a	22
412.745	s	23
412.953	s	24
413.496	i	25
414.001	c	26
414.44	a	27
415.029	l	28
415.436	space	29
415.871	m	30
416.28	u	31
416.798	s	32
417.341	i	33
417.846	c	34
418.204	space	35
418.767	send	36
422.344	v	1
422.826	a	2
423.366	n	3
423.775	i	4
424.158	l	5
424.366	l	6
424.955	a	7
425.362	space	8
425.771	f	9
426.302	l	10
426.891	a	11
427.373	v	12
427.878	o	13
428.409	r	14
428.767	e	15
429.125	d	16
429.533	space	17
429.99	i	18
430.495	c	19
430.904	e	20
431.361	space	21
431.757	c	22
432.166	r	23
432.524	e	24
432.908	a	25
433.47	m	26
433.828	space	27
434.391	send	28
442.392	a	1
442.799	space	2
443.256	t	3
443.759	o	4
444.176	u	5
444.646	c	6
445.095	h	7
445.562	d	8
446.105	o	9
446.678	w	10
447.205	n	11
447.563	space	12
448.02	i	13
448.429	n	14
448.787	space	15
449.244	t	16
449.627	h	17
450.112	e	18
450.569	space	19
451.068	l	20
451.657	a	21
452.015	s	22
452.459	t	23
452.916	space	24
453.351	m	25
453.76	i	26
454.169	n	27
454.578	u	28
454.995	t	29
455.412	e	30
455.869	space	31
456.432	send	32
462.376	e	1
462.785	v	2
463.194	e	3
463.552	r	4
463.969	y	5
464.426	space	6
464.93	a	7
465.526	p	8
465.734	p	9
466.092	l	10
466.656	e	11
467.113	space	12
467.522	f	13
467.88	r	14
468.411	o	15
468.82	m	16
469.178	space	17
469.635	e	18
470.044	v	19
470.453	e	20
470.811	r	21
471.228	y	22
471.685	space	23
472.142	t	24
472.5	r	25
472.858	e	26
473.066	e	27
473.523	space	28
474.086	send	29
482.283	l	1
482.847	e	2
483.231	a	3
483.675	r	4
484.136	n	5
484.494	space	6
484.951	t	7
485.454	o	8
485.91	space	9
486.396	w	10
486.754	a	11
487.343	l	12
487.701	k	13
488.109	space	14
488.467	b	15
488.928	e	16
489.311	f	17
489.829	o	18
490.36	r	19
490.718	e	20
491.175	space	21
491.632	y	22
492.099	o	23
492.516	u	24
492.973	space	25
493.43	r	26
493.897	u	27
494.306	n	28
494.664	space	29
495.227	send	30
502.381	s	1
502.924	i	2
503.457	x	3
503.815	space	4
504.236	d	5
504.653	a	6
505.196	u	7
505.58	g	8
505.938	h	9
506.321	t	10
506.738	e	11
507.096	r	12
507.48	s	13
507.888	space	14
508.392	a	15
508.932	n	16
509.414	d	17
509.822	space	18
510.291	s	19
510.649	e	20
511.058	v	21
511.467	e	22
511.965	n	23
512.323	space	24
